name,description,slug,kind,url,learning_resources
Zotero,A free easy-to-use tool to help you collect organise cite and share research.,zotero,tool,https://www.zotero.org/,
Zip files,An archive file format that supports lossless data compression. ,zip-files,tool,https://en.wikipedia.org/wiki/ZIP_(file_format),
YouTube,An online video sharing platform owned by Google.,youtube,tool,https://www.youtube.com,
YAML,A human-friendly data serialisation standard for all programming languages.,yaml,language,https://yaml.org/,
Yacc,"A parser generator tool for Unix-like systems, generating C source code.",yacc,tool,https://en.wikipedia.org/wiki/Yacc,
XQuery,A query and functional programming language that queries collections of XML data.,xquery,language,https://www.w3.org/TR/xquery-31/,
XML databases,Systems that allow data to be stored in XML format and queried.,xml-databases,tool,https://en.wikipedia.org/wiki/XML_database,
XML,A markup language that defines a set of rules for encoding documents in a format that is both human- and machine-readable.,xml,language,https://en.wikipedia.org/wiki/XML,
XGBoost,An optimised distributed gradient boosting library designed to be highly efficient flexible and portable.,xgboost,tool,https://xgboost.ai/,
xCAT,"An open-source tool for automating deployment, scaling, and management of bare metal servers and virtual machines.",xcat,tool,https://xcat.org/,
Xamarin,An open-source platform for building modern and performant applications for iOS Android and Windows with .NET.,xamarin,tool,https://dotnet.microsoft.com/en-us/apps/xamarin,
X,"Formerly Twitter, a microblogging and social media network.",x,tool,https://x.com,
Writing blog posts,The practice of creating short informal articles for digital distribution.,writing-blog-posts,methodology,https://en.wikipedia.org/wiki/Blog,
Workspace management,The collection of relevant data to create workspaces that efficiently accommodate both employees and equipment.,workspace-management,methodology,https://www.witco.io/blog/guide-to-workspace-management,
WordPress,An open-source web content management system written in PHP.,wordpress,tool,https://wordpress.org/,
Wireframing,A visual guide that represents the skeletal framework of a website.,wireframing,methodology,https://en.wikipedia.org/wiki/Website_wireframe,
WildFly,"A fast, lightweight, open-source Java application server from Red Hat, implementing Jakarta EE (formerly Java EE) and MicroProfile standards.",wildfly,tool,https://www.wildfly.org/,
WebSocket,A computer communications protocol providing full-duplex communication channels over a single TCP connection.,websocket,methodology,https://en.wikipedia.org/wiki/WebSocket,
Webscraping,The process of using bots to extract content and data from a website.,webscraping,methodology,https://en.wikipedia.org/wiki/Web_scraping,
WDL,Workflow Description Language a way to specify data processing workflows.,wdl,language,https://openwdl.org/,
WCAG,The Web Content Accessibility Guidelines for making web content more accessible to people with disabilities.,wcag,methodology,https://www.w3.org/WAI/standards-guidelines/wcag/,
WAVE,A suite of evaluation tools that helps authors make their web content more accessible.,wave,tool,https://wave.webaim.org/,
Waterfall,The process of performing the typical software development life cycle phases in sequential order.,waterfall,methodology,https://en.wikipedia.org/wiki/Waterfall_model,
Warewulf,A stateless cluster management suite designed for high-performance computing.,warewulf,tool,https://warewulf.org/,
Vulnerability management,"Vulnerability management is a continuous and proactive process of identifying, assessing and addressing security weaknesses in IT systems throughout their lifecycle.",vulnerability-management,methodology,https://www.ncsc.gov.uk/collection/vulnerability-management,
Vue,A progressive framework for building user interfaces using JavaScript.,vue,tool,https://vuejs.org/,
VMware,A provider of cloud computing and virtualisation software and services.,vmware,tool,https://www.vmware.com/,
VirtualBox,A powerful x86 and AMD64/Intel64 virtualisation product for enterprise and home use.,virtualbox,tool,https://www.virtualbox.org/,
Vampir,A tool for the visualisation and analysis of the behavior of complex parallel applications.,vampir,tool,https://vampir.eu/,
Valgrind,An instrumentation framework for building dynamic analysis tools for memory debugging.,valgrind,tool,https://valgrind.org/,
Unsupervised learning,A type of algorithm that learns patterns from untagged data.,unsupervised-learning,methodology,https://en.wikipedia.org/wiki/Unsupervised_learning,
Unix Domain Sockets,A data communications endpoint for exchanging data between processes executing on the same host.,unix-domain-sockets,tool,https://en.wikipedia.org/wiki/Unix_domain_socket,
Unix,A modular operating system standard that promoted open development and influenced modern computing.,unix,tool,https://www.opengroup.org/unix,
Unit testing,A software testing method by which individual units of source code are tested to determine if they are fit for use.,unit-testing,methodology,https://en.wikipedia.org/wiki/Unit_testing,
Understanding and defining community roles,"Identifying responsibilities and expectations of individuals or groups within a community to support effective participation, collaboration, and shared goals.",understanding-and-defining-community-roles,methodology,https://guidebook.theopensourceway.org/growing-contributors/understanding-community-roles,
UML,Unified Modeling Language providing a standard way to visualise the design of a system.,uml,language,https://www.uml.org/,
UDP,"User Datagram Protocol (UDP)  is fast, lightweight, connectionless transport layer protocol used in IT networks that prioritises speed over reliability by sending data (datagrams) immediately without establishing a connection with no guarantee of packet delivery, ordering or error correction. ",udp,methodology,https://en.wikipedia.org/wiki/User_Datagram_Protocol,
TypeScript,A high-level programming language that adds static typing with optional type annotations to JavaScript.,typescript,language,https://www.typescriptlang.org/,
Triple stores,A purpose-built database for the storage and retrieval of triples through semantic queries.,triple-stores,tool,https://en.wikipedia.org/wiki/Triplestore,
Trello,A web-based Kanban-style list-making application for project management.,trello,tool,https://trello.com/,
Travis CI,A hosted continuous integration service used to build and test software projects hosted on sites like GitHub.,travis-ci,tool,https://www.travis-ci.com/,
Transfer Learning,A machine learning technique where a model developed for a task is reused as the starting point for a second task.,transfer-learning,methodology,https://en.wikipedia.org/wiki/Transfer_learning,
TOML,"Tom's Obvious, Minimal Language (TOML) is a file format for configuration files that is easy to read.",toml,language,https://toml.io/en/,
Toad,A database management toolset from Quest used for application development and administration.,toad,tool,https://www.quest.com/products/toad/,
TkInter,The standard Python interface to the Tk GUI toolkit which is bundled with Python by default.,tkinter,tool,https://docs.python.org/3/library/tkinter.html,
Time management,"The process of planning and controlling how you spend your time to increase efficiency, productivity, and effectiveness.",time-management,methodology,https://en.wikipedia.org/wiki/Time_management,
Test Driven Development,A software development process relying on the repetition of a very short development cycle.,test-driven-development,methodology,https://en.wikipedia.org/wiki/Test-driven_development,
Tesseract,An open source optical character recognition engine for various operating systems.,tesseract,tool,https://github.com/tesseract-ocr/tesseract,
Terraform,An infrastructure as code tool that lets you build change and version cloud resources safely.,terraform,tool,https://www.terraform.io/,
TensorFlow-GAN,A lightweight library for training and evaluating Generative Adversarial Networks.,tensorflow-gan,tool,https://github.com/tensorflow/gan,
TensorFlow,An end-to-end open source platform for machine learning developed by Google.,tensorflow,tool,https://www.tensorflow.org/,
Technical or scientific reports,"A technical report is a formal, structured document that conveys, analyses, and explains technical, scientific, or research information, focusing on processes, results, and recommendations",technical-or-scientific-reports,methodology,https://en.wikipedia.org/wiki/Technical_report,
Technical documentation,"Technical documentation is the structured creation of materials (manuals, guides, FAQs, API documentation) that describe the functionality, architecture, and usage of a product, system, or service",technical-documentation,methodology,https://en.wikipedia.org/wiki/Technical_documentation,
TCP,"Fundamental, connection-oriented transport layer protocol that ensures reliable, ordered, and error-checked delivery of data between applications over IP networks.",tcp,methodology,https://en.wikipedia.org/wiki/Internet_protocol_suite,
TAU,The Tuning and Analysis Utilities used for performance analysis of parallel programs.,tau,tool,https://www.cs.uoregon.edu/research/tau/home.php,
Tailwind,A utility-first CSS framework for rapidly building custom user interfaces.,tailwind,tool,https://tailwindcss.com/,
Systematic literature review,"A rigorous, transparent, and reproducible methodology used to identify, select, and critically appraise all relevant research on a specific, narrowly defined question.",systematic-literature-review,methodology,https://subjects.library.manchester.ac.uk/systematic-reviews/What,
System testing,The process of testing an integrated hardware and software system to verify it meets requirements.,system-testing,methodology,https://en.wikipedia.org/wiki/System_testing,
System on a chip (SoC),An integrated circuit that integrates all components of a computer or other electronic system.,system-on-a-chip-soc,tool,https://en.wikipedia.org/wiki/System_on_a_chip,
Synchronisation and concurrency control,Coordinating parallel tasks to ensure correct execution while minimising synchronisation overhead and contention.,synchronisation-and-concurrency-control,methodology,https://algocademy.com/blog/an-introduction-to-synchronization-algorithms-ensuring-harmony-in-concurrent-systems/,
Sylc,Open source singularity,sylc,tool,https://sylabs.io/,
SYCL,C++ programming for heterogeneous parallel computing.,sycl,tool,https://www.khronos.org/sycl/,
Swift,A general-purpose compiled programming language developed by Apple.,swift,language,https://www.swift.org/,
svn,"Apache Subversion (often abbreviated SVN, after its command name svn) is a version control system that predates Git.",svn,tool,https://subversion.apache.org/,
Svelte,A free and open-source component-based front-end software framework and language.,svelte,tool,https://svelte.dev/,
SurveyMonkey,An online survey development cloud-based software as a service company.,surveymonkey,tool,https://www.surveymonkey.com/,
Supervised learning,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,supervised-learning,methodology,https://en.wikipedia.org/wiki/Supervised_learning,
styler,An R package that formats your code according to the tidyverse style guide.,styler,tool,https://styler.r-lib.org/,
Streamlit,An open-source Python library that makes it easy to create custom web apps for machine learning.,streamlit,tool,https://streamlit.io/,
Storage performance management,"Monitoring, analysis and optimisation of storage system performance to maintain efficient data access, throughput and latency. ",storage-performance-management,methodology,https://www.brendangregg.com/systems-performance-2nd-edition-book.html,
Storage hardware,"Physical hardware used to record and store data (e.g. HDD, SSD).",storage-hardware,tool,https://en.wikipedia.org/wiki/Computer_data_storage,
Storage architecture,"Storage architecture defines how data is stored, accessed, and managed within a computing environment, with primary types including Direct-Attached Storage (DAS), Network-Attached Storage (NAS), and Storage Area Network (SAN). ",storage-architecture,methodology,https://www.xbyte.com/blog/understanding-the-three-common-storage-architecture-types/,
Static program analysis,Examining code without executing it to find errors or style issues.,static-program-analysis,methodology,https://en.wikipedia.org/wiki/Static_program_analysis,
Stata,A general-purpose statistical software package used for data science and econometrics.,stata,tool,https://www.stata.com/,
Stakeholder analysis,The process of identifying and understanding the requirements of people invested in a project.,stakeholder-analysis,methodology,https://en.wikipedia.org/wiki/Stakeholder_analysis,
SSL/TLS,"SSL (Secure Sockets Layer) and TLS (Transport Layer Security) are cryptographic protocols that secure communications over networks by encrypting data to ensure privacy, data integrity and authentication.",ssltls,methodology,https://en.wikipedia.org/wiki/Transport_Layer_Security,
SSH,Secure Shell Protocol (SSH Protocol) is a cryptographic network protocol for operating network services securely over an unsecured network - tyically used for remote login and command-line execution.,ssh,methodology,https://en.wikipedia.org/wiki/Secure_Shell,
SQLite,"A small, fast, self-contained, high-reliability, full-featured, SQL database engine.",sqlite,tool,https://sqlite.org/,
SQL Server,A relational database management system developed by Microsoft.,sql-server,tool,https://www.microsoft.com/sql-server,
SQL,Structured Query Language a standard language for managing relational databases.,sql,language,https://en.wikipedia.org/wiki/SQL,
SPSS,A software package used for interactive or batched statistical analysis.,spss,tool,https://www.ibm.com/products/spss-statistics,
Spreadsheets,"A spreadsheet is a computer application for entry, organisation, analysis and storage of data in tabular form.",spreadsheets,tool,https://en.wikipedia.org/wiki/Spreadsheet,
Sphynx,A tool that makes it easy to create intelligent and beautiful documentation for Python projects.,sphynx,tool,https://www.sphinx-doc.org/,
SPARQL,An RDF query language and data access protocol for the semantic web.,sparql,language,https://www.w3.org/TR/sparql11-query/,
Spack.io,A multi-platform package manager that builds and installs multiple versions and configurations of software.,spack-io,tool,https://spack.io/,
Sonarqube,"An open-source, static code analysis platform for continuous inspection of code quality and security.",sonarqube,tool,https://www.sonarsource.com/products/sonarqube/,
Software quality practices,Data that describes the attributes of software quality such as reliability or test coverage.,software-quality-practices,methodology,https://en.wikipedia.org/wiki/Software_quality,
Software Management Plans,Formal documents describing how software will be developed maintained and preserved.,software-management-plans,methodology,https://software.ac.uk/software-management-plans,
SOAP,An XML-based messaging protocol specification for exchanging structured information in the implementation of web services.,soap,language,https://www.w3schools.com/xml/xml_soap.asp,
Snakemake,A workflow management system that creates reproducible and scalable data analyses.,snakemake,tool,https://snakemake.github.io/,
Snakefiles,The configuration files used by the Snakemake workflow management system.,snakefiles,language,https://snakemake.readthedocs.io/,
SMTP,Simple Mail Transfer Protocol the standard for email transmission.,smtp,methodology,https://en.wikipedia.org/wiki/Simple_Mail_Transfer_Protocol,
Smalltalk,An object-oriented dynamically typed reflective programming language.,smalltalk,language,https://en.wikipedia.org/wiki/Smalltalk,
Simple Linux Utility for Resource Management (SLURM),"An open source, fault-tolerant, and highly scalable cluster management and job scheduling system for large and small Linux clusters.",simple-linux-utility-for-resource-management-slurm,tool,https://slurm.schedmd.com/,
SLURM accounting tools,Tools used to track and report resource usage within a SLURM cluster.,slurm-accounting-tools,tool,https://slurm.schedmd.com/accounting.html,
Slack,A cloud-based proprietary instant messaging platform for team communication.,slack,tool,https://slack.com/,
Singularity,A container platform designed to execute applications on HPC clusters safely.,singularity,tool,https://docs.sylabs.io/guides/main/user-guide/,
Single Instruction Multiple Data (SIMD),Vectorised execution model where one instruction operates simultaneously on multiple data elements.,single-instruction-multiple-data-simd,methodology,"https://en.wikipedia.org/wiki/Single_instruction,_multiple_data",
Simulations,The use of software like MATLAB or LabVIEW to model real-world processes or systems.,simulations,methodology,https://en.wikipedia.org/wiki/Computer_simulation,
Simplifying technical jargon,The skill of explaining complex concepts in accessible language for non-experts.,simplifying-technical-jargon,methodology,https://en.wikipedia.org/wiki/Plain_English,
SimGrid,A scientific framework to simulate the behavior of large-scale distributed systems.,simgrid,tool,https://simgrid.org/,
Signals,Asynchronous notifications sent to a process to notify it of an event or trigger specific behavior.,signals,methodology,https://en.wikipedia.org/wiki/Signal_(IPC),
Shiny,An R package that makes it easy to build interactive web apps directly from R.,shiny,tool,https://shiny.posit.co/,
Shell scripting,The process of writing programs for the Unix/Linux shells to automate tasks.,shell-scripting,methodology,https://en.wikipedia.org/wiki/Scripting_language,
Shared Memory Programming,Programming model where multiple threads operate on shared memory space and coordinate through synchronisation mechanisms.,shared-memory-programming,methodology,https://vinayak2002590.medium.com/shared-memory-programming-a-concept-to-understand-the-complexity-of-multithreading-493b4b41c3f4,
Setting agenda,The act of defining the topics to be discussed in a formal meeting.,setting-agenda,methodology,https://en.wikipedia.org/wiki/Agenda_(meeting),
Server Message Block (SMB) ,"Server Message Block (SMB) is a communication protocol used to share files, printers and serial ports between nodes on a network.",server-message-block-smb,tool,https://en.wikipedia.org/wiki/Server_Message_Block,
Sensors,Devices that detect and respond to some type of input from the physical environment.,sensors,methodology,https://en.wikipedia.org/wiki/Sensor,
Semi-supervised learning,An approach to machine learning that combines a small amount of labeled data with a large amount of unlabeled data.,semi-supervised-learning,methodology,https://en.wikipedia.org/wiki/Semi-supervised_learning,
Semaphores,Variables or abstract data types used to coordinate access to shared resources in multitasking environments.,semaphores,methodology,https://en.wikipedia.org/wiki/Semaphore_(programming),
Self-supervised learning,A form of machine learning where the data provides the supervision by leveraging its internal structure.,self-supervised-learning,methodology,https://en.wikipedia.org/wiki/Self-supervised_learning,
Selenium,An open source umbrella project for a range of tools and libraries aimed at supporting browser automation.,selenium,tool,https://www.selenium.dev/,
Seaborn,A Python data visualization library based on matplotlib that provides a high-level interface for statistical graphics.,seaborn,tool,https://seaborn.pydata.org/,
Scrum,An agile team collaboration framework commonly used in software development and other industries.,scrum,methodology,https://en.wikipedia.org/wiki/Scrum_(project_management),
Scikit-learn,A free software machine learning library for the Python programming language.,scikit-learn,tool,https://scikit-learn.org/,
Schema.org,"A collaborative, community activity with a mission to create, maintain, and promote schemas for structured data on the Internet.",schema-org,language,https://schema.org/,
Scalasca,A software tool that supports the performance optimisation of parallel programs by measuring and analyzing their runtime behaviour.,scalasca,tool,https://www.scalasca.org/,
Scalability analysis,Evaluating how application performance changes as the number of processors or nodes increases.,scalability-analysis,methodology,https://hpc-wiki.info/hpc/Scaling,
SCALA,A strong statically typed high-level programming language that scales from small scripts to large systems.,scala,language,https://www.scala-lang.org/,
Satellite hardware,The domain involving the development and operation of orbital hardware and data processing.,satellite-hardware,methodology,https://en.wikipedia.org/wiki/Satellite,
Sass,A preprocessor scripting language that is interpreted or compiled into Cascading Style Sheets (CSS).,sass,language,https://sass-lang.com/,
SAS,A statistical software suite developed by SAS Institute for data management and analytics.,sas,tool,https://www.sas.com/,
Rust,A multi-paradigm programming language focused on performance and safety especially safe concurrency.,rust,language,https://www.rust-lang.org/,
Ruff,An extremely fast Python linter and code formatter.,ruff,tool,https://docs.astral.sh/ruff/,
Ruby on Rails,A server-side web application framework written in Ruby.,ruby-on-rails,tool,https://rubyonrails.org/,
Ruby,A dynamic open source programming language with a focus on simplicity and productivity.,ruby,language,https://www.ruby-lang.org/,
RStudio,An integrated development environment for R now known as Positron/Posit.,rstudio,tool,https://posit.co/,
Routing and traffic engineering,"The methods used to determine and control how data is routed and distributed across a network to ensure efficient, reliable, and balanced communication.",routing-and-traffic-engineering,methodology,https://en.wikipedia.org/wiki/Traffic_engineering_(telecommunications),
Routing algorithms,The logic that determines the path of data packets across a network.,routing-algorithms,methodology,https://en.wikipedia.org/wiki/Routing,
Robotics,An interdisciplinary branch of computer science and engineering that involves the design of robots.,robotics,methodology,https://en.wikipedia.org/wiki/Robotics,
Risk matrix,Risk assessment to define the level of risk by considering the category of probability.,risk-matrix,methodology,https://en.wikipedia.org/wiki/Risk_matrix,
REST,Representational State Transfer an architectural style for providing standards between computer systems.,rest,methodology,https://en.wikipedia.org/wiki/REST,
Remora,A tool for monitoring resource utilisation of HPC jobs.,remora,tool,https://github.com/TACC/remora,
Reinforcement learning,An area of machine learning concerned with how intelligent agents ought to take actions in an environment.,reinforcement-learning,methodology,https://en.wikipedia.org/wiki/Reinforcement_learning,
Regular expressions,A sequence of characters that specifies a search pattern in text.,regular-expressions,methodology,https://en.wikipedia.org/wiki/Regular_expression,
Regression,A set of statistical processes for estimating the relationships between a dependent variable and independent variables.,regression,methodology,https://en.wikipedia.org/wiki/Regression_analysis,
Preregistration,The process of formally documenting a research study or clinical trial before it begins.,preregistration,methodology,https://en.wikipedia.org/wiki/Preregistration_(science),
ReFrame,A framework for writing regression tests for HPC systems.,reframe,tool,https://reframe-hpc.readthedocs.io/,
Reference management,"A process of collecting, storing, organising, annotating bibliograpgic references that can be shared and used for citing work.",reference-management,methodology,https://en.wikipedia.org/wiki/Reference_management_software,
Redis,An in-memory data structure store used as a distributed cache and message broker.,redis,tool,https://redis.io/,
RedHat Cluster Suite,A set of software components that allow a group of computers to work together as a cluster.,redhat-cluster-suite,tool,https://www.redhat.com/,
Recording clear actions,Documenting specific outcomes and responsibilities during meetings.,recording-clear-actions,methodology,https://en.wikipedia.org/wiki/Minutes,
Recognising stereotypes,The pre-reflective attribution of particular qualities by an individual to a member of some social out group.,recognising-stereotypes,methodology,https://en.wikipedia.org/wiki/Implicit_stereotype,
README,A text file containing information about the other files in a directory or software package.,readme,methodology,https://en.wikipedia.org/wiki/README,
Read the Docs,An open-source free software documentation hosting platform.,read-the-docs,tool,https://readthedocs.org/,
React Native,A framework for building native applications using React.,react-native,tool,https://reactnative.dev/,
React,A JavaScript library for building user interfaces maintained by Meta.,react,tool,https://react.dev/,
RDF,The Resource Description Framework a standard for model data interchange on the web.,rdf,methodology,https://www.w3.org/RDF/,
Rayyan,"AI-powered systematic review management platform
",rayyan,tool,https://www.rayyan.ai/,
Ray,An open-source unified framework for scaling AI and Python applications.,ray,tool,https://www.ray.io/,
Raspberry Pi,A series of small single-board computers developed to promote teaching of basic computer science.,raspberry-pi,tool,https://www.raspberrypi.org/,
Radars,Object-detection systems that use radio waves to determine the range and velocity of objects.,radars,tool,https://en.wikipedia.org/wiki/Radar,
R Markdown,A file format for making dynamic documents with R.,r-markdown,tool,https://rmarkdown.rstudio.com/,
R,A programming language and free software environment for statistical computing and graphics.,r,language,https://www.r-project.org/,
Querying an API,The act of requesting data from or sending data to a remote application interface.,querying-an-api,methodology,https://en.wikipedia.org/wiki/API,
Quarto,An open-source scientific and technical publishing system built on Pandoc.,quarto,tool,https://quarto.org/,
Quantitative methods,Research methods focused on numerical data (quantitative).,quantitative-methods,methodology,https://en.wikipedia.org/wiki/Quantitative_research,
Qualtrics,An experience management platform used for complex survey research and data analysis.,qualtrics,tool,https://www.qualtrics.com/,
Qualitative methods,Research methods focused on non-numerical data (qualitative).,qualitative-methods,methodology,https://en.wikipedia.org/wiki/Qualitative_research,
Qt,A cross-platform software framework for creating graphical user interfaces and various applications.,qt,tool,https://www.qt.io/,
PyUnit,The standard unit testing framework for Python also known as unittest.,pyunit,tool,https://docs.python.org/3/library/unittest.html,
PyTorch GAN,A Generative Adversarial Network (GAN) built using PyTorch to perform generative machine learning such as human faces.,pytorch-gan,tool,https://github.com/eriklindernoren/Pytorch-GAN,
PyTorch,An open-source machine learning framework based on the Torch library.,pytorch,tool,https://pytorch.org/,
Python,A high-level interpreted general-purpose programming language.,python,language,https://www.python.org/,
Pytest,A framework that makes it easy to write small readable tests for Python code.,pytest,tool,https://docs.pytest.org/,
PySide,The official Python module from the Qt project providing access to the complete Qt framework.,pyside,tool,https://www.qt.io/qt-for-python,
PyQt,A set of Python bindings for the Qt application framework developed by Riverbank Computing.,pyqt,tool,https://www.riverbankcomputing.com/software/pyqt/,
PyPI,The Python Package Index a repository of software for the Python programming language.,pypi,tool,https://pypi.org/,
Pulumi,An infrastructure as code tool that allows using familiar programming languages to manage cloud resources.,pulumi,tool,https://www.pulumi.com/,
Pull requests,A human-centric process for proposing changes to a repository and discussing them before integration.,pull-requests,methodology,https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/proposing-changes-to-your-work-with-pull-requests/about-pull-requests,
Public key certificates,"Public key certificates (or digital certificates) are electronic documents that bind a public key to an entity (user, device, or organization) to prove their identity in cryptographic transactions",public-key-certificates,methodology,https://en.wikipedia.org/wiki/Public_key_certificate,
Prompt engineering,The process of optimising text input to guide large language models toward desired outputs.,prompt-engineering,methodology,https://en.wikipedia.org/wiki/Prompt_engineering,
Prometheus,An open-source systems monitoring and alerting toolkit originally built at SoundCloud.,prometheus,tool,https://prometheus.io/,
PROLOG,A logic programming language associated with artificial intelligence and computational linguistics.,prolog,language,https://en.wikipedia.org/wiki/Prolog,
Procedural programming,A programming paradigm derived from structured programming based on the concept of the procedure call.,procedural-programming,methodology,https://en.wikipedia.org/wiki/Procedural_programming,
PRINCE2,"A globally recognised structured project management method offering clear, easy to follow guidance for managing projects effectively to ensure project success.",prince2,methodology,https://www.prince2.com/uk,
Presentations,"A demonstration, lecture or speach, typically prepared and delivered with slides or other visual aids.",presentations,methodology,https://en.wikipedia.org/wiki/Presentation,
Postman,An API platform for developers to design build test and iterate their APIs.,postman,tool,https://www.postman.com/,
PostgreSQL,A free and open-source relational database management system emphasising extensibility and SQL compliance.,postgresql,tool,https://www.postgresql.org/,
Post-processing,Analysing and visualising outputs from large-scale (domain-specific) simulations or computations directly on high-performance infrastructure. ,post-processing,methodology,https://link.springer.com/book/10.1007/978-3-030-33495-6,
POSIX threads,A POSIX standard for threads commonly known as Pthreads.,posix-threads,methodology,https://en.wikipedia.org/wiki/Pthreads,
POSIX file permissions,The standard for defining access rights to files and directories in Unix-like systems.,posix-file-permissions,methodology,https://en.wikipedia.org/wiki/File-system_permissions,
Portable Batch System (PBS),A computer software that performs job scheduling in high-performance computing.,portable-batch-system-pbs,tool,https://en.wikipedia.org/wiki/Portable_Batch_System,
POP3,An internet standard protocol used by local e-mail clients to retrieve e-mail from a remote server over a TCP/IP connection.,pop3,methodology,https://en.wikipedia.org/wiki/Post_Office_Protocol,
Pomodoro,"A time management technique to break work into intervals, typically 25 minutes in length, separated by short breaks.",pomodoro,methodology,https://en.wikipedia.org/wiki/Pomodoro_Technique,
Podman,An open-source daemonless container engine for developing managing and running OCI Containers.,podman,tool,https://podman.io/,
