name,description,slug,kind,url,learning_resources
Podcasts,"An episodic series of audio recordings on a given topic, typically a discussion led by a regular host.",podcasts,methodology,https://en.wikipedia.org/wiki/Podcast,
PHP,A general-purpose scripting language geared towards web development.,php,language,https://www.php.net/,
pf,A BSD licensed stateful packet filter.,pf,tool,https://www.openbsd.org/faq/pf/,
Persistent identifiers (PID),Long-lasting references to a digital resource.,persistent-identifiers-pid,methodology,https://en.wikipedia.org/wiki/Persistent_identifier,
Pascal,An imperative and procedural programming language intended to encourage good programming practices.,pascal,language,https://en.wikipedia.org/wiki/Pascal_(programming_language),
Parsl,A flexible and scalable parallel programming library for Python.,parsl,tool,https://parsl-project.org/,
Paraver,A package devoted to generate Paraver trace-files for a post-mortem analysis of parallel applications.,paraver,tool,https://tools.bsc.es/paraver,
Parallel File Systems,"A high-performance, scalable storage architecture that allows multiple clients or compute nodes to access the same files simultaneously.",parallel-file-systems,methodology,https://www.datacore.com/glossary/parallel-file-systems/,
Parallel (data and task) decomposition,Breaking a computational problem into smaller tasks that can be executed concurrently across multiple processors or threads.,parallel-data-and-task-decomposition,methodology,https://en.wikipedia.org/wiki/Task_parallelism,
Paper Digest,AI journal article summariser,paper-digest,tool,https://www.paperdigest.org/,
Pandas,A fast flexible and expressive data structure library designed for relational and labeled data in Python.,pandas,tool,https://pandas.pydata.org/,
Pair programming,An agile software development technique in which two programmers work together at one workstation.,pair-programming,methodology,https://en.wikipedia.org/wiki/Pair_programming,
Packer,An open-source tool for creating identical machine images for multiple platforms from a single source configuration.,packer,tool,https://www.packer.io/,
Overleaf,An online collaborative LaTeX editor used for writing and publishing scientific documents.,overleaf,tool,https://www.overleaf.com/,
Oracle VirtualBox,A free and open-source hosted hypervisor for x86 virtualisation.,oracle-virtualbox,tool,https://www.virtualbox.org/,
Oracle Grid Engine,"Oracle Grid Engine, previously known as Sun Grid Engine (SGE), is a grid computing computer cluster software system (otherwise known as a batch-queuing system)",oracle-grid-engine,tool,https://en.wikipedia.org/wiki/Oracle_Grid_Engine,
Oracle,A multi-model database management system produced and marketed by Oracle Corporation.,oracle,tool,https://www.oracle.com/database/,
Optical Character Recognition (OCR),Software used to convert different types of documents into editable and searchable data.,optical-character-recognition-ocr,methodology,https://en.wikipedia.org/wiki/Optical_character_recognition,
Operating systems,System software that manages computer hardware and software resources and provides common services.,operating-systems,tool,https://en.wikipedia.org/wiki/Operating_system,
OpenRefine,A powerful tool for working with messy data: cleaning it; transforming it from one format into another.,openrefine,tool,https://openrefine.org/,
OpenMP,An application programming interface that supports multi-platform shared-memory multiprocessing programming.,openmp,methodology,https://www.openmp.org/,
OPeNDAP,A data architectural framework and network protocol for structured data systems.,opendap,methodology,https://www.opendap.org/,
OpenAI,An artificial intelligence research laboratory and the platform behind models like GPT.,openai,tool,https://openai.com/,
OpenACC,A programming standard for parallel computing developed by Cray NVIDIA and others.,openacc,methodology,https://www.openacc.org/,
Open source principles,A set of principles derived from open source software development models and applied more broadly to additional industries and domains.,open-source-principles,methodology,https://opensource.com/open-source-way,
Open formats,Published specifications for storing digital data which can be used and implemented by anyone.,open-formats,methodology,https://en.wikipedia.org/wiki/Open_format,
Onboarding new members,The process of helping new employees or collaborators adapt to their new roles.,onboarding-new-members,methodology,https://en.wikipedia.org/wiki/Onboarding,
OBS,A free and open-source cross-platform streaming and recording program.,obs,tool,https://obsproject.com/,
Object-Oriented Programming (OOP),"A programming paradigm based on the concept of ""objects"" which can contain data and code.",object-oriented-programming-oop,methodology,https://en.wikipedia.org/wiki/Object-oriented_programming,
NVivo,A qualitative data analysis software package.,nvivo,tool,https://www.qsrinternational.com/nvivo-qualitative-data-analysis-software/home,
NVIDIA Nsight,A suite of developer tools for debugging and profiling GPU-accelerated applications.,nvidia-nsight,tool,https://developer.nvidia.com/nsight-visual-studio-edition,
NVIDIA HPC SDK,A comprehensive suite of compilers and libraries for GPU-accelerated computing.,nvidia-hpc-sdk,tool,https://developer.nvidia.com/hpc-sdk,
Nuxt,An open-source framework under MIT license that makes web development intuitive and powerful.,nuxt,tool,https://nuxt.com/,
NumPy,"Python package for scientific computing.
",numpy,tool,https://numpy.org/,
NoSQL,A mechanism for storage and retrieval of data that is modeled in means other than tabular relations.,nosql,methodology,https://en.wikipedia.org/wiki/NoSQL,
Normalisation,The process of adjusting values measured on different scales to a notionally common scale.,normalisation,methodology,https://en.wikipedia.org/wiki/Normalization_(statistics),
Node.js,"A free, open-source, cross-platform JavaScript runtime environment that lets developers create servers, web apps, command line tools and scripts.",node-js,tool,https://nodejs.org/en,
Node,An open-source cross-platform JavaScript runtime environment.,node,tool,https://nodejs.org/,
nginx,"An HTTP web server, reverse proxy, content cache, load balancer, TCP/UDP proxy server, and mail proxy server.",nginx,tool,https://nginx.org/,
nftables,"Modern Linux kernel packet filtering framework, replacing older tools like iptables, offering a unified syntax for IPv4/IPv6, better performance, and a more flexible rule structure using tables, chains, and rules processed by an in-kernel virtual machine.",nftables,tool,https://www.netfilter.org/projects/nftables/index.html,
NFS,A distributed file system protocol allowing a user on a client computer to access files over a network.,nfs,methodology,https://en.wikipedia.org/wiki/Network_File_System,
Nextflow DSL,The domain-specific language used within the Nextflow framework.,nextflow-dsl,language,https://www.nextflow.io/docs/latest/dsl2.html,
Nextflow,A workflow system for writing and executing data-intensive pipelines.,nextflow,tool,https://www.nextflow.io/,
Next,A React framework for building full-stack web applications.,next,tool,https://nextjs.org/,
Neural Networks and Deep Learning,A subfield of machine learning inspired by the structure and function of the human brain.,neural-networks-and-deep-learning,methodology,https://en.wikipedia.org/wiki/Neural_network,
Network topology design,"The design and organisation of network structures that define how nodes are interconnected to optimise scalability, performance, and communication efficiency.",network-topology-design,methodology,https://en.wikipedia.org/wiki/Network_topology,
Network resilience and fault tolerance,"The design of networks to maintain operation and recover from failures through redundancy, failover mechanisms, and robust system design.",network-resilience-and-fault-tolerance,methodology,https://en.wikipedia.org/wiki/Fault_tolerance,
Network performance analysis,"The measurement and evaluation of key network performance characteristics to assess and optimise data transfer capacity, delay, and overall efficiency.",network-performance-analysis,methodology,https://en.wikipedia.org/wiki/Network_performance,
Network architecture,The design of a computer network including physical and logical layouts.,network-architecture,methodology,https://en.wikipedia.org/wiki/Network_architecture,
Netlify,A platform for automating modern web projects with serverless functions and deployment.,netlify,tool,https://www.netlify.com/,
NetBox,An infrastructure resource modeling tool designed to help manage and document computer networks.,netbox,tool,https://netbox.dev/,
Nest,A progressive Node.js framework for building efficient reliable and scalable server-side applications.,nest,tool,https://nestjs.com/,
Natural Language Processing (NLP),A subfield of AI concerned with the interactions between computers and human languages.,natural-language-processing-nlp,methodology,https://en.wikipedia.org/wiki/Natural_language_processing,
Nagios,An open-source computer-software application that monitors systems networks and infrastructure.,nagios,tool,https://www.nagios.org/,
N-tier architecture,A logical and physical architecture that divides an application into layers such as presentation logic and data.,n-tier-architecture,methodology,https://en.wikipedia.org/wiki/Multitier_architecture,
MySQL,An open-source relational database management system.,mysql,tool,https://www.mysql.com/,
Multi-threading,The ability of a central processing unit to provide multiple threads of execution concurrently.,multi-threading,methodology,https://en.wikipedia.org/wiki/Multithreading_(computer_architecture),
Multi-processing,The use of two or more central processing units within a single computer system.,multi-processing,methodology,https://en.wikipedia.org/wiki/Multiprocessing,
MongoDB,A source-available cross-platform document-oriented database program.,mongodb,tool,https://www.mongodb.com/,
Model-View-Controller (MVC),A software design pattern commonly used for developing user interfaces.,model-view-controller-mvc,methodology,https://en.wikipedia.org/wiki/Model–view–controller,
Model Evaluation and Validation,Methods for assessing how well a machine learning model performs on unseen data.,model-evaluation-and-validation,methodology,https://en.wikipedia.org/wiki/Model_selection,
Mockito,A mocking framework for Java applications that allows the creation of test double objects.,mockito,tool,https://site.mockito.org/,
Mocha,A feature-rich JavaScript test framework running on Node.js and in the browser.,mocha,tool,https://mochajs.org/,
MLflow,An open-source platform to manage the ML lifecycle including experimentation and deployment.,mlflow,tool,https://mlflow.org/,
MkDocs,A static site generator that's geared towards building project documentation.,mkdocs,tool,https://www.mkdocs.org/,
Microsoft Windows,A proprietary graphical operating system developed and marketed by Microsoft.,microsoft-windows,tool,https://www.microsoft.com/en-gb/windows,
Microsoft Teams,A team collaboration platform developed by Microsoft as part of the Microsoft 365 suite.,microsoft-teams,tool,https://www.microsoft.com/en-us/microsoft-teams/group-chat-software,
Microsoft SharePoint,"A web-based collaborative platform primarily used for building corporate intranets, document and content management, and file sharing.",microsoft-sharepoint,tool,https://www.microsoft.com/microsoft-365/sharepoint/collaboration,
Microsoft PowerPoint ,Presentation software by Microsoft Corporation.,microsoft-powerpoint,tool,https://www.microsoft.com/en-gb/microsoft-365/powerpoint,
Microsoft Hyper-V,A native hypervisor that can create virtual machines on x86-64 systems running Windows.,microsoft-hyper-v,tool,https://learn.microsoft.com/en-us/virtualization/hyper-v-on-windows/,
Microsoft Defender,A host-based firewall component of Microsoft Windows.,microsoft-defender,tool,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/windows-firewall-with-advanced-security,
Microsoft Copilot,A generative artificial intelligence chatbot developed by Microsoft AI.,microsoft-copilot,tool,https://copilot.cloud.microsoft/,
Microservices,An architectural style where an application is developed as a collection of small independent services.,microservices,methodology,https://cloud.google.com/learn/what-is-microservices-architecture,
Message Passing Parallelism (MPP),Programming model where parallel processes communicate by explicitly sending and receiving messages.,message-passing-parallelism-mpp,methodology,https://www.matillion.com/blog/what-is-massively-parallel-processing,
Message Passing Interface (MPI),A standardised and portable message-passing standard designed to function on parallel computing architectures.,message-passing-interface-mpi,methodology,https://www.mpi-forum.org/,
Mercurial,A free distributed source control management tool.,mercurial,tool,https://www.mercurial-scm.org/,
Mendeley,A company based in London which provides products and services for academic researchers including a reference manager.,mendeley,tool,https://www.mendeley.com/,
Memory hierarchy and data locality optimisation,Designing data structures and access patterns to minimise memory latency and maximise use of caches and local memory.,memory-hierarchy-and-data-locality-optimisation,methodology,https://www.researchgate.net/publication/389044560_Memory_Hierarchy_Optimization_Strategies_for_High-_Performance_Computing_Architectures,
Memory hierarchies,The organisation of computer storage into levels based on response time.,memory-hierarchies,methodology,https://en.wikipedia.org/wiki/Memory_hierarchy,
Meeting rules,Setting rules for effective meetings.,meeting-rules,methodology,https://third-bit.com/py-rse/teams.html#teams-meetings,
Medical devices,Instruments or software used for medical purposes as regulated by healthcare authorities.,medical-devices,tool,https://www.who.int/health-topics/medical-devices,
Mattermost,"An open core, self-hosted collaboration platform that offers chat, workflow automation, voice calling, screen sharing, and AI integration.",mattermost,tool,https://mattermost.com/,
Matplotlib,A comprehensive Python library for creating static animated and interactive visualizations.,matplotlib,tool,https://matplotlib.org/,
MATLAB,A proprietary multi-paradigm programming language and numeric computing environment.,matlab,language,https://www.mathworks.com/products/matlab.html,
Mathematica,"A system for technical computing, combining symbolic, numerical, and graphical computation with a vast knowledge base.",mathematica,tool,https://www.wolfram.com/mathematica/,
Mastodon,A free open-source self-hosted social networking service.,mastodon,tool,https://joinmastodon.org/,
Martha's rules,A process for discussing and deciding on issues in group meetings,marthas-rules,tool,https://third-bit.com/py-rse/teams.html#teams-martha,
Markdown,A lightweight markup language for creating formatted text using a plain-text editor.,markdown,language,https://en.wikipedia.org/wiki/Markdown,
Makefiles,Files containing a set of directives used by a make build automation tool to generate targets.,makefiles,tool,https://www.gnu.org/software/make/manual/make.html,
macOS,"A proprietary Unix-based operating system, derived from OPENSTEP for Mach and FreeBSD, the current operating system for Apple's Mac computers.",macos,tool,https://www.apple.com/uk/os/macos/,
Machine Learning Frameworks,Libraries or tools that provide a standardised way to build and train machine learning models.,machine-learning-frameworks,tool,https://en.wikipedia.org/wiki/Outline_of_machine_learning,
Lustre,A type of parallel distributed file system generally used for large-scale cluster computing.,lustre,tool,https://www.lustre.org/,
Logic programming,A programming paradigm which is largely based on formal logic.,logic-programming,methodology,https://en.wikipedia.org/wiki/Logic_programming,
Locks,Synchronisation primitives that enforce mutual exclusion by allowing only one thread to access a critical section.,locks,methodology,https://en.wikipedia.org/wiki/Lock_(computer_science),
Load Sharing Facility (LSF),A workload management and job scheduling software for distributed computing environments.,load-sharing-facility-lsf,tool,https://www.ibm.com/products/hpc-workload-management,
Load balancing,Distributing work evenly across processors or nodes to maximise resource utilisation and minimise idle time. Workload distribution is usually decided in the algorithm design but can appear in HPC runtime tuning.,load-balancing,methodology,https://en.wikipedia.org/wiki/Load_balancing_(computing),
Lmod,A Lua-based environment modules system that easily handles the MODULEPATH environment variable.,lmod,tool,https://lmod.readthedocs.io/,
LISP,A family of programming languages with a long history and a distinctive fully parenthesised prefix notation.,lisp,language,https://en.wikipedia.org/wiki/Lisp_(programming_language),
Linux,An open-source Unix-like operating system kernel and family of distributions based on it.,linux,tool,https://www.linux.org/,
lintr,The canonical way to configure R projects and packages for linting.,lintr,tool,https://lintr.r-lib.org/,
Linters,Tools that check source code against a set of style guidelines.,linters,tool,https://en.wikipedia.org/wiki/Linter_(software),
LinkedIn,A business and employment-oriented online service for professional networking.,linkedin,tool,https://www.linkedin.com/,
LightGBM,A free and open source distributed gradient boosting framework for machine learning.,lightgbm,tool,https://lightgbm.readthedocs.io/,
Licensing,"Granting a license to authorise others to use, copy or sell someone's intellectual property (IP) such as software or patented inventions.",licensing,methodology,https://en.wikipedia.org/wiki/License,
Libraries,Collections of non-volatile resources used by computer programs for software development (e.g. MPI OpenMP BLAS).,libraries,tool,https://en.wikipedia.org/wiki/Library_(computing),
Lex,A tool that generates lexical analysers (converts the stream of characters into tokens).,lex,tool,https://en.wikipedia.org/wiki/Lex_(software),
LaTeX,A software system for document preparation and high-quality typesetting.,latex,tool,https://www.latex-project.org/,
Large Language Models (LLM),A type of artificial intelligence algorithm that uses deep learning and large datasets to understand and generate new content.,large-language-models-llm,methodology,https://en.wikipedia.org/wiki/Large_language_model,
LAPACK,A high-performance standard library for numerical linear algebra including routines for linear equations.,lapack,tool,https://www.netlib.org/lapack/,
LangChain,A framework designed to simplify the creation of applications using large language models.,langchain,tool,https://www.langchain.com/,
LabVIEW,A system-design platform and development environment for a visual programming language from National Instruments.,labview,tool,https://www.ni.com/en-us/shop/labview.html,
Kubernetes,An open-source container-orchestration system for automating software deployment scaling and management.,kubernetes,tool,https://kubernetes.io/,
Kro,A tool used for creating and managing data visualisations and diagrams.,kro,tool,https://github.com/kro-org/kro,
KNIME,An open-source data analytics reporting and integration platform.,knime,tool,https://www.knime.com/,
Keras,An open-source software library that provides a Python interface for artificial neural networks.,keras,tool,https://keras.io/,
Karma,A test runner for JavaScript that allows you to execute code in multiple real browsers.,karma,tool,https://karma-runner.github.io/,
Jupyter Notebooks,An interactive web application for creating and sharing documents containing live code and text.,jupyter-notebooks,tool,https://jupyter.org/,
Junit,A unit testing framework for the Java programming language.,junit,tool,https://junit.org/,
Julia,"A high-level, high-performance dynamic language for technical computing.",julia,language,https://julialang.org/,
JSON,JavaScript Object Notation a lightweight data-interchange format.,json,methodology,https://www.json.org/json-en.html,
JSLint,A static code analysis tool used in software development for checking JavaScript source code.,jslint,tool,https://www.jslint.com/,
JSDoc,A markup language used to annotate and document JavaScript code. ,jsdoc,tool,https://jsdoc.app/,
jQuery,"A JavaScript library designed to simplify HTML DOM tree traversal and manipulation, as well as event handling, CSS animations, and Ajax.",jquery,tool,https://jquery.com/,
JProfiler,"A commercially licensed Java profiling tool developed by ej-technologies GmbH, targeted at Java EE and Java SE applications.",jprofiler,tool,https://www.ej-technologies.com/jprofiler,
Job scheduling,Controlling unattended background program execution of jobs (commonly called batch scheduling).,job-scheduling,methodology,https://en.wikipedia.org/wiki/Job_scheduler,
Jest,A delightful JavaScript Testing Framework with a focus on simplicity.,jest,tool,https://jestjs.io/,
Jenkins,An open source automation server. ,jenkins,tool,https://www.jenkins.io/,
Jekyll,"A static website generator written in Ruby and popular on GitHub, using the Liquid template engine.",jekyll,tool,https://jekyllrb.com/,
JavaScript,A programming language that is one of the core technologies of the World Wide Web.,javascript,language,https://developer.mozilla.org/en-US/docs/Web/JavaScript,
Javadoc,A documentation generator for the Java language for generating API documentation in HTML format.,javadoc,tool,https://www.oracle.com/technical-resources/articles/java/javadoc-tool.html,
Java,A high-level class-based object-oriented programming language.,java,language,https://www.java.com/,
Jasmine,A behavior-driven development framework for testing JavaScript code.,jasmine,tool,https://jasmine.github.io/,
janitor,An R package of simple functions for examining and cleaning dirty data.,janitor,tool,http://rdocumentation.org/packages/janitor/,
ISAD(G),The General International Standard Archival Description.,isadg,methodology,https://www.ica.org/en/isadg-general-international-standard-archival-description-second-edition,
iptables,"Firewall utility for Linux, used to configure the kernel's Netfilter framework to filter, modify, and route network traffic (IPv4)",iptables,tool,https://en.wikipedia.org/wiki/Iptables,
IPSec,"IPsec (Internet Protocol Security) is a suite of network layer protocols that secure internet communication by authenticating and encrypting IP packets, ensuring data confidentiality, integrity and authenticity.",ipsec,methodology,https://en.wikipedia.org/wiki/IPsec,
Internet Protocol (IP),"Internet Protocol (IP) is a fundamental network-layer protocol responsible for addressing, routing, and delivering data packets across network boundaries, essentially enabling the internet",internet-protocol-ip,methodology,https://en.wikipedia.org/wiki/Internet_Protocol,
Internet of Things (IoT),A network of physical objects embedded with sensors and software for data exchange.,internet-of-things-iot,methodology,https://en.wikipedia.org/wiki/Internet_of_things,
Interconnected computing nodes,The physical or logical connection of multiple servers to act as a single system.,interconnected-computing-nodes,methodology,https://en.wikipedia.org/wiki/Node_(networking),
Intellectual property (IP),A category of property that includes intangible creations of the human intellect.,intellectual-property-ip,methodology,https://en.wikipedia.org/wiki/Intellectual_property,
Intel VTune,A performance analysis tool for finding serial and parallel code bottlenecks.,intel-vtune,tool,https://www.intel.com/content/www/us/en/developer/tools/oneapi/vtune-profiler.html,
Intel Advisor,A design and analysis tool for vectorisation threading and memory usage.,intel-advisor,tool,https://www.intel.com/content/www/us/en/developer/tools/oneapi/advisor.html,
Integration testing,A level of software testing where individual units are combined and tested as a group.,integration-testing,methodology,https://en.wikipedia.org/wiki/Integration_testing,
InfiniBand,A technology designed for low-latency and high-bandwidth data transfer.,infiniband,tool,https://en.wikipedia.org/wiki/InfiniBand,
Immutable operating systems,Operating systems where the root filesystem is read-only to ensure stability and security.,immutable-operating-systems,methodology,https://en.wikipedia.org/wiki/System_image,
IMAP,An internet standard protocol used by email clients to retrieve email messages from a mail server.,imap,methodology,https://en.wikipedia.org/wiki/Internet_Message_Access_Protocol,
Identifying target audience,The process of determining who a project or piece of communication is intended for.,identifying-target-audience,methodology,https://en.wikipedia.org/wiki/Target_audience,
IDE,Integrated Development Environments like Jupyter Notebooks RStudio or VS Code.,ide,tool,https://en.wikipedia.org/wiki/Integrated_development_environment,
Hugging Face Transformers,A library providing state-of-the-art machine learning models for natural language processing.,hugging-face-transformers,tool,https://huggingface.co/docs/transformers/index,
HTTP(S),"Hypertext Transfer Protocol Secure (HTTP) is a protocol used for transmitting web pages over the Internet. HTTPS (Hypertext Transfer Protocol Secure) is the secure, encrypted version of HTTP, utilising SSL/TLS certificates to protect data integrity and user privacy between a browser and a server. ",https,methodology,https://en.wikipedia.org/wiki/HTTPS,
HTML,The standard markup language for documents designed to be displayed in a web browser.,html,language,https://en.wikipedia.org/wiki/HTML,
HTCondor,A specialised workload management system for compute-intensive jobs.,htcondor,tool,https://htcondor.org/,
HPCtoolkit,A suite of tools for measuring and analysing the performance of HPC applications.,hpctoolkit,tool,https://hpctoolkit.org/,
HPC tools,Software used to manage and build high-performance computing environments (e.g. Spack CMake).,hpc-tools,tool,https://spack.io/,
HPC Tiers,A hierarchical classification of high-performance computing centers (Tier-0 to Tier-3) based on scale and mission.,hpc-tiers,methodology,https://en.wikipedia.org/wiki/Supercomputing_in_Europe,
HPC hardware,The physical infrastructure required for supercomputing including nodes and interconnects.,hpc-hardware,tool,https://en.wikipedia.org/wiki/Supercomputer,
HIP,A C++ runtime API and kernel language that allows developers to create portable GPU applications for AMD and NVIDIA hardware.,hip,language,https://rocm.docs.amd.com/projects/HIP/en/latest/,
Helm,"A package manager for Kubernetes that uses 'charts' as its package format, based on YAML.",helm,tool,https://helm.sh/,
HedgeDoc,An open-source collaborative real-time markdown editor.,hedgedoc,tool,https://hedgedoc.org/,
Hadoop,A framework that allows for the distributed processing of large data sets across clusters of computers.,hadoop,tool,https://hadoop.apache.org/,
Guiding discussions,The act of facilitating group conversation to reach a specific outcome or consensus.,guiding-discussions,methodology,https://en.wikipedia.org/wiki/Facilitation_(business),
GraphQL,A query language for APIs and a runtime for fulfilling those queries with existing data.,graphql,language,https://graphql.org/,
Graphical User Interfaces,The visual representation of a program's functionality.,graphical-user-interfaces,methodology,https://en.wikipedia.org/wiki/Graphical_user_interface,
Grafana,"Tool to query, visualise, alert on, and explore metrics, logs, and traces.",grafana,tool,https://grafana.com/,
Gradio,An open-source Python library used to build machine learning and data science demos.,gradio,tool,https://gradio.app/,
GPUs,Graphics Processing Units used for rendering and accelerated parallel computing.,gpus,tool,https://en.wikipedia.org/wiki/Graphics_processing_unit,
GPFS,The General Parallel File System (now IBM Storage Scale) for high-performance data access.,gpfs,tool,https://www.ibm.com/products/storage-scale,
Google Slides,An online presentation app that lets you create and format presentations and collaborate on creating presentations with other people.,google-slides,tool,https://docs.google.com/presentation,
Google Sheets,A web-based spreadsheet application included as part of the Google Docs Editors suite.,google-sheets,tool,https://www.google.com/sheets/about/,
Google Scholar,A freely accessible web search engine that indexes the full text or metadata of scholarly literature across an array of publishing formats and disciplines.,google-scholar,tool,https://scholar.google.com/,
Google Gemini,"Google's AI assistant, a family of multimodal generative AI models and a conversational chatbot.",google-gemini,tool,https://gemini.google.com/,
Google Forms,A survey administration software included as part of the free web-based Google Docs Editors suite.,google-forms,tool,https://www.google.com/forms/about/,
Google Docs,"A free web-based word processor that can be used to create, edit and store digital documents.",google-docs,tool,https://docs.google.com/,
Google Cloud Functions,A serverless compute platform that allows you to run code in response to events without having to provision or manage servers.,google-cloud-functions,tool,https://cloud.google.com/functions,
Google Cloud for AI,"Scalable AI offerings including video and image analysis, speech recognition, and multi-language processing.",google-cloud-for-ai,tool,https://cloud.google.com/ai,
Google Cloud Armor,"Google Cloud Armor is a network security service that provides defenses against DDoS and application attacks, and offers a rich set of Web-application Firewall (WAF) rules.",google-cloud-armor,tool,https://cloud.google.com/security/products/armor,
Globus,A research data management service for secure reliable file transfer and sharing.,globus,tool,https://www.globus.org/,
GitLab CI/CD,A tool built into GitLab for software development using continuous methodologies.,gitlab-cicd,tool,https://docs.gitlab.com/ee/ci/,
GitLab,A web-based Git repository manager with wiki code reviews and CI/CD pipeline features.,gitlab,tool,https://about.gitlab.com/,
GitHub's Minimum Viable Governance,"A repository-based framework providing lightweight, template-driven structures to help open-source projects manage, collaborate, and scale efficiently",githubs-minimum-viable-governance,tool,https://github.com/github/MVG,
GitHub releases,A way to package and deliver software iterations to users via GitHub.,github-releases,methodology,https://docs.github.com/en/repositories/releasing-projects-on-github/,
GitHub Projects,An adaptable project management tool on GitHub that uses tables boards and roadmaps to track work.,github-projects,tool,https://docs.github.com/en/issues/planning-and-tracking-with-projects/learning-about-projects/about-projects,
GitHub Pages,A static site hosting service that takes HTML CSS and JavaScript files from a repository.,github-pages,tool,https://pages.github.com/,
GitHub Issues,A lightweight tracking system integrated into GitHub repositories for reporting bugs and discussing tasks.,github-issues,tool,https://docs.github.com/en/issues/tracking-your-work-with-issues/about-issues,
GitHub Copilot,An AI pair programmer that offers autocomplete-style suggestions as you code.,github-copilot,tool,https://github.com/features/copilot,
